"Team","Year","Wins","CB","DL","EDGE","MLB","OL","QB","RB","S","ST","TE","WR","Other"
"Los Angeles Chargers",2023,5,69649155,87683418,54356898,68507856,100924614,14.8373623853788,17.217639838607,18.2558692709367,16.2291897879494,43415552,132401409,1019445
"Los Angeles Chargers",2024,8,58822986,47972365,222240652,33715955,257690187,17.998240255915,16.8191977570321,17.9038235333496,16.62882132973,12207492,77330580,1134445
"Los Angeles Rams",2021,12,81099095,202534304,45225415,2441320,212345408,17.982873228416,16.6773859573589,16.8193546416443,16.5981115522081,21734838,40787500,0
"Los Angeles Rams",2022,5,210712264,340494950,26205006,13238082,101899647,16.035619392935,16.2374753667978,16.3538447771205,16.3957274633142,14489847,33325968,0
"Los Angeles Rams",2023,10,14556208,302172876,2422880,16227592,249501501,17.5349192413613,16.3176171863889,17.2374542718198,14.951525883171,25269939,156916312,0
"Los Angeles Rams",2024,6,14556208,302172876,2422880,16227592,249501501,17.5349192413613,16.3176171863889,17.2374542718198,14.951525883171,25269939,156916312,0
"Miami Dolphins",2021,9,207285102,185944376,58298970,2117776,115002672,16.9835798331234,16.273888153685,17.8593804555423,16.5856736532481,51532945,148048356,0
"Miami Dolphins",2022,9,88018055,40068220,79760105,51491244,195834000,17.6538327052796,17.0193564369516,17.7603397280174,16.5511977805948,44430753,152848409,0
"Miami Dolphins",2023,11,135043377,169902715,5080010,99416180,218658753,17.5029125461628,17.705220590213,17.3030348907835,16.4694450292123,15454260,221712225,0
"Miami Dolphins",2024,5,89157570,89300658,13749504,48266920,201464552,17.3484377395236,17.8364444868867,17.7594557066646,16.3302187798756,27260000,192341184,0
"Minnesota Vikings",2021,8,88691560,153699606,26322165,5185503,163972630,18.4067419588797,17.7398563450839,17.1562706856722,15.8223815412179,8285480,30599855,0
"Minnesota Vikings",2022,13,74071400,163140867,50239593,94401590,127182870,17.9950742072613,18.3224626713228,16.6251612346251,16.3431572815817,10698207,93878565,0
"Minnesota Vikings",2023,7,64822940,97753176,42115554,21011031,249187400,16.1314508716588,17.1744371530581,18.067963458143,16.3416388823898,13962000,53081135,0
"Minnesota Vikings",2024,10,166985973,58497780,113286453,17507001,361802628,17.0200846386978,17.3532139495203,17.5769202330941,15.4520790842568,45645528,82268075,0
"New England Patriots",2021,10,102600704,90843648,24628458,121932978,259977051,16.4500615349214,17.1342802596104,18.4382141416307,15.9629383813562,40492272,122355268,0
"New England Patriots",2022,8,99167892,183916168,31510748,43373800,114640240,15.9923332017895,16.4803267607803,18.2744929675567,15.9185260379712,46762336,240350257,0
"New England Patriots",2023,4,79190442,224296336,1714788,61169815,208072344,16.5715552416859,16.1798266722538,18.484598581881,16.0919471390607,16295001,52828134,0
"New England Patriots",2024,3,118018236,304966100,23996544,3325000,150767019,17.6475130821385,17.1643951081437,18.5344546426372,16.2061379380442,27810510,71247114,0
"New Orleans Saints",2021,9,37714075,190137537,26587593,8067402,194487660,17.1043671555176,17.739098253832,18.369955667046,15.708596768109,4645184,29613600,0
"New Orleans Saints",2022,7,106344161,293270319,4552104,30185108,253474380,16.4545679590081,17.138857851405,17.7839834785286,16.9495472339371,21564222,37386360,0
"New Orleans Saints",2023,9,26246480,350564010,6114258,52242805,244700576,17.434091279397,17.9071706201383,17.4943836399048,16.0284442102471,47086000,25971804,0
"New Orleans Saints",2024,4,20063828,403104380,29721716,32867394,244891610,17.5977658905091,18.309324254987,17.8928891926503,16.0532903208971,71447532,10007499,0
"New York Jets",2021,4,64616868,206404640,850000,24839997,170781093,16.9807295395678,17.0717739938032,15.9237510258744,15.6096812844403,4174876,69375590,0
"New York Jets",2022,7,73000905,461856120,6880000,13287000,190876050,17.5470245070267,16.2902393385142,17.611393714465,16.32133914303,32422340,148345554,0
"New York Jets",2023,7,151446008,207434664,129444,179563314,200892267,17.1670503943908,15.9875620461887,17.4904550955469,16.5074314448873,20456673,77246304,0
"New York Jets",2024,3,268546952,268297280,58038380,16458000,241563200,17.5024437443273,16.7141540659676,16.8608989539709,16.2538643264979,23490600,58861180,0
"Philadelphia Eagles",2021,9,110091912,463589820,0,8292069,297064405,15.8783234823446,16.7042410252351,17.2474891336013,16.127352672221,16342660,33402200,0
"Philadelphia Eagles",2022,14,102960072,492119727,11412000,8867340,332887941,16.5252054724503,16.8589915488082,16.8663358054717,16.3125242047276,15908304,66416995,0
"Philadelphia Eagles",2023,11,154068257,302299164,30472314,6273402,373973589,17.0982527656357,16.8582484042512,16.2065334517882,16.5868067577567,24367857,116002806,0
"Philadelphia Eagles",2024,10,165278568,90872754,53706940,10264692,477066612,17.7177456375508,16.6912970212501,16.6065794034752,16.8499827079342,20320238,144964758,0
"Pittsburgh Steelers",2021,9,128334930,100232968,18282572,42958510,88589856,18.2797989632923,17.5113593199358,17.2767640861659,16.7246251224858,7006437,48101370,0
"Pittsburgh Steelers",2022,9,66889656,227925495,81113304,89071116,157175766,17.2421613684138,17.4560586688843,17.6613283955037,16.8339380848604,9494886,70386355,0
"Pittsburgh Steelers",2023,10,106757084,245327530,188303285,9307488,386867016,17.2314898797642,16.5875062293842,17.2852231681713,16.9343694757451,10578879,113832520,583338
"Pittsburgh Steelers",2024,9,51786875,195538818,157399696,68982165,209746314,16.6361656706077,17.2595424037706,18.5941297306503,16.8330445377554,27646548,40937196,0
"San Francisco 49ers",2021,10,53544757,269858259,14118051,13584639,205067466,17.9929994589791,17.3116841545798,17.5978144604627,16.4424225737986,23590476,48380532,0
"San Francisco 49ers",2022,13,26238972,401801510,0,82591555,260223858,17.5872660482369,17.1946370257122,18.2661234598061,17.0346261140946,41388344,69732070,0
"Seattle Seahawks",2021,7,40643400,222626316,8782452,36442062,182808765,18.425892210639,17.3638825143457,16.3238896453375,16.973047898777,24040712,84342167,0
"Seattle Seahawks",2022,9,73289034,281132150,26955417,6268095,205822053,16.1082516574511,16.8887365548281,16.324093775889,17.2392844938053,9961080,103316340,0
"Seattle Seahawks",2023,9,63371958,161852872,2152343,76299060,179412706,17.1548325713693,17.4431863507758,17.6817514335481,16.873113688226,71537108,144262185,0
"Seattle Seahawks",2024,7,72233328,242846065,16475643,23357610,104325296,17.8186531750181,16.4833026333201,17.6614249783493,17.2440474201529,50395108,331702128,0
"Tampa Bay Buccaneers",2021,13,49820580,114089196,114582685,42253428,283644000,17.5206579684062,17.4561923423493,16.9897558533747,16.8812352499583,54413610,81162501,0
"Tampa Bay Buccaneers",2022,8,120852025,133063800,7395356,100226224,240333192,17.6487520966867,17.1743685792108,16.66954907439,16.7042276699108,26545960,175797713,0
"Tampa Bay Buccaneers",2023,9,52981192,108449173,66183900,100063416,120665412,16.2413960601004,16.0160879527655,17.1345764909403,16.0958746838342,8468202,208067268,0
"Tampa Bay Buccaneers",2024,6,92225870,234067505,61046480,43646288,208511361,16.6675161574712,16.1061178020789,17.8547129547039,16.2177902958418,16017120,57416466,0
"Tennessee Titans ",2021,NA,39470145,75492840,27032178,70237902,358827876,16.9835140945463,18.3885018008377,18.0929178050548,16.5728799896048,16344483,48683004,0
"Tennessee Titans ",2022,NA,43460774,145641000,2187768,9779172,39786712,14.5924164563488,17.6263748964797,17.639841569381,16.2203716945192,27943008,57520505,0
"Tennessee Titans ",2023,NA,24099964,114740649,26860000,17525390,166526460,18.590618166261,18.1324116325603,16.9098849542306,16.1671244533181,3563278,47067690,0
"Tennessee Titans ",2024,NA,26991375,180426768,86505552,49813260,166524804,16.0996616846183,17.1157948896852,17.9563954697054,16.688368902979,15559712,74900435,0
"Washington Commanders",2022,8,52901648,391751888,1905000,2267774,266683110,18.3942706267951,15.5112971611933,17.2926428680692,16.6947966518716,34356864,163334154,0
"Washington Commanders",2023,4,28947595,396773245,3735136,24315556,158789448,17.1722171747799,16.7901934903973,15.8303537100478,16.6947091838016,32250972,219633554,0
"Washington Commanders",2024,8,70933218,354282570,9700000,14522834,271353789,17.5422656383152,16.48167132003,18.0939259100686,16.6082592578587,21067623,145178005,0
"Washington Football Team",2021,7,159756506,281797417,908721,14458780,290809683,15.8880008707354,15.9526695585781,15.4840421326588,16.5634661736557,4675143,75229217,0
