"Team","Year","Wins","CB","DL","EDGE","MLB","OL","QB","RB","S","ST","TE","WR","Other"
"Los Angeles Chargers",2024,8,9803831,9594473,55560163,6743191,28632243,16.8996279977605,15.4329035447237,16.8052112782165,15.5302091610739,4069164,12888430,1134445
"Los Angeles Rams",2021,12,16219819,25316788,9045083,1220660,19304128,16.884260970734,15.2910917677234,15.2099169275944,15.4994993872947,7244946,8157500,NA
"Los Angeles Rams",2022,5,30101752,34049495,8735002,4412694,11322183,14.9370073214614,14.8511812719191,15.2552326464481,15.2971153261612,4829949,5554328,NA
"Los Angeles Rams",2023,10,3639052,33574764,1211440,4056898,27722389,16.8417720850497,14.9313230710058,15.6280164899814,13.8529142366945,8423313,22416616,NA
"Los Angeles Rams",2024,6,3639052,33574764,1211440,4056898,27722389,16.8417720850497,14.9313230710058,15.6280164899814,13.8529142366945,8423313,22416616,NA
"Miami Dolphins",2021,9,34547517,23243047,9716495,1058888,14375334,16.2904326946482,14.8875940492861,16.2499426132262,15.4870614898836,10306589,24674726,NA
"Miami Dolphins",2022,9,17603611,10017055,15952021,12872811,19583400,16.5552204596709,15.633062197649,16.1509018930014,15.4525856216255,14810251,21835487,NA
"Miami Dolphins",2023,11,19291911,33980543,2540005,19883236,24295417,16.4043003075686,16.095782759584,15.916740621393,15.3708328812917,5151420,31673175,NA
"Miami Dolphins",2024,5,14859595,14883443,4583168,9653384,25183069,16.249825509294,16.2270066461974,16.150017871717,15.6370716802021,6815000,32056864,NA
"Minnesota Vikings",2021,8,11086445,17077734,8774055,1728501,16397263,17.3081296904923,16.1304185116701,16.0576584678242,14.7237695213669,2071370,6119971,NA
"Minnesota Vikings",2022,13,9258925,18126763,16746531,18880318,14131430,17.3019270420066,16.7130248030169,15.9320141142911,15.244545152607,3566069,18775713,NA
"Minnesota Vikings",2023,7,9260420,12219147,21057777,7003677,24918740,15.0328387803374,15.7881428962559,16.6816691397109,15.2430267536577,4654000,10616227,NA
"Minnesota Vikings",2024,10,23855139,11699556,16183779,5835667,40200292,15.921472431182,15.9669196756405,16.4783079909278,14.3534671848822,15215176,16453615,NA
"New England Patriots",2021,10,12825088,12977664,8209486,20322163,28886339,15.3514493897557,15.5248424919657,16.8287762685014,14.8643263262564,13497424,17479324,NA
"New England Patriots",2022,8,16527982,22989521,15755374,8674760,14330030,15.2991861346309,15.0940326084968,16.4827335561993,14.8199139934785,23381168,34335751,NA
"New England Patriots",2023,4,13198407,28037042,1714788,12233963,26009043,15.472943080103,15.0812145716128,16.5386884891106,14.9933350556912,5431667,8804689,NA
"New England Patriots",2024,3,19669706,30496610,7998848,3325000,16751891,16.5489008368028,16.0657828897226,16.7426952180321,15.1075258325205,9270170,11874519,NA
"New Orleans Saints",2021,9,7542815,21126393,8862531,2689134,21609740,16.0057549414425,15.9473388834541,16.7605177966933,14.6099847806534,2322592,4935600,NA
"New Orleans Saints",2022,7,15192023,32585591,2276052,7546277,28163820,15.7614208498767,15.7525635983812,16.1745456417037,15.8509350323523,7188074,6231060,NA
"New Orleans Saints",2023,9,5249296,35056401,3057129,10448561,30587572,16.3354790443703,16.2977327745501,15.8849458284763,14.9298321403376,11771500,6492951,NA
"New Orleans Saints",2024,4,5015957,40310438,7430429,10955798,24489161,16.4991536473835,16.9230299274009,16.2834513480236,14.9546782456192,17861883,3335833,NA
"New York Jets",2021,4,7179652,20640464,850000,8279999,18975677,15.8821173353095,15.2800147172356,14.5374570291088,14.5110693283026,2087438,13875118,NA
"New York Jets",2022,7,14600181,46185612,3440000,6643500,21208450,16.4484122662717,14.9039452299517,15.8196343575522,15.2227270175778,8105585,24724259,NA
"New York Jets",2023,7,21635144,23048296,129444,29927219,22321363,16.0684381757834,14.8889499854078,16.1041608104794,15.4088192917205,6818891,12874384,NA
"New York Jets",2024,3,33568369,33537160,14509595,8229000,24156320,16.809296588816,15.3278598701414,15.4746047355845,15.1552522124387,7830200,11772236,NA
"Philadelphia Eagles",2021,9,13761489,30905988,NA,2764023,27005855,14.7797114478684,15.0948033353883,15.4557298259878,15.02874058171,4085665,8350550,NA
"Philadelphia Eagles",2022,14,17160012,44738157,5706000,2955780,36987549,15.4265933168964,15.4726973306943,15.4800415863114,15.2139120807205,5302768,13283399,NA
"Philadelphia Eagles",2023,11,22009751,33588796,10157438,2091134,41552621,15.999640552018,15.4719541862436,15.1079213461921,15.4881945942502,8122619,19333801,NA
"Philadelphia Eagles",2024,10,20659821,15145459,13426735,3421564,43369692,16.6191333892762,15.5926848453255,15.5079672375183,15.7513705154662,10160119,24160793,NA
"Pittsburgh Steelers",2021,9,21389155,12529121,9141286,8591702,11073732,17.18118669765,15.9019215068072,15.8904698192172,15.6260129428656,2335479,8016895,NA
"Pittsburgh Steelers",2022,9,11148276,32560785,27037768,14845186,17463974,16.1435491447369,16.0697643864783,16.2750340984906,15.7353258939483,3164962,14077271,NA
"Pittsburgh Steelers",2023,10,15251012,35046790,37660657,2326872,42985224,16.1328776567846,15.4888940657902,16.1866109417551,15.8357572754922,3526293,22766504,583338
"Pittsburgh Steelers",2024,9,10357375,32589803,39349924,13796433,23305146,15.5375535010734,15.8732481384577,17.2078353947532,15.7344323469307,6911637,6822866,NA
"San Francisco 49ers",2021,10,7649251,29984251,4706017,4528213,22785274,17.2998522937561,15.7022463633983,15.9883766391092,15.3438104297333,7863492,8063422,NA
"San Francisco 49ers",2022,13,6559743,40180151,NA,16518311,28913762,16.488653805592,15.5851992495869,16.6566855940577,15.9360139054073,10347086,13946414,NA
"San Francisco 49ers",2023,12,12067661,40006091,1451246,20748336,25008779,15.8558887141142,16.2877067713098,14.9407832778945,15.2066379710504,11402972,17587210,NA
"San Francisco 49ers",2024,5,27629663,31561252,3148334,13941500,38665475,15.3829284668852,16.3209389391762,15.4527147933219,14.8950256504612,15043570,20680424,NA
"Seattle Seahawks",2021,7,5806200,20238756,2927484,18221031,20312085,17.327279941867,15.7544447169974,15.2252775194695,15.8744356951696,6010178,12048881,NA
"Seattle Seahawks",2022,9,8143226,28113215,8985139,2089365,22869117,15.4151045778804,15.5024423325231,15.6309466767125,16.1406722703156,3320360,20663268,NA
"Seattle Seahawks",2023,9,10561993,20231609,2152343,15259812,16310246,16.4616854262704,15.8337485446532,16.5831391867538,15.7745014935583,17884277,28852437,NA
"Seattle Seahawks",2024,7,12038888,34692295,5491881,4671522,13040662,17.1255060127163,15.3846904834626,16.27513068133,16.1454351963536,12598777,41462766,NA
"Tampa Bay Buccaneers",2021,13,8303430,19014866,22916537,10563357,31516000,16.4220457289313,15.846754534853,15.6034616177318,15.7826230545303,10882722,11594643,NA
"Tampa Bay Buccaneers",2022,8,17264575,16632975,3697678,25056556,30041649,16.5501398512973,15.7880743224158,15.5709369009442,15.6056154925378,6636490,25113959,NA
"Tampa Bay Buccaneers",2023,9,13245298,15492739,16545975,16677236,13407268,15.1427839482319,14.9174758855757,15.5251387232526,14.99726259966,2822734,34677878,NA
"Tampa Bay Buccaneers",2024,6,18445174,33438215,12209296,10911572,23167929,15.9743690346397,15.0075057158207,16.2452751127158,15.5246432057933,4004280,9569411,NA
"Tennessee Titans ",2021,NA,7894029,9436605,9010726,10033986,39869764,16.2903669560739,16.5967423832448,16.7066234855707,15.4742678278537,5448161,8113834,NA
"Tennessee Titans ",2022,NA,6208682,18205125,1093884,2444793,4973339,13.8992697356153,16.240080601747,16.2535472737602,15.1217595864072,6985752,11504101,NA
"Tennessee Titans ",2023,NA,6024991,12748961,13430000,3505078,16652646,17.4920058944673,16.7461173114639,15.1181257115192,15.0685123550807,1781639,9413538,NA
"Tennessee Titans ",2024,NA,5398275,30071128,28835184,9962652,18502756,15.4065146059188,15.7295006391834,16.3469576209064,15.5897567273851,3889928,14980087,NA
"Washington Commanders",2022,8,13225412,35613808,952500,1133887,26668311,17.2956583586622,14.4126852394349,15.6832050792186,15.5961844755531,8589216,27222359,NA
"Washington Commanders",2023,4,5789519,36070295,1867568,6078889,17643272,16.0736049558114,15.4038992824682,15.1372066628292,15.596097007493,10750324,31376222,NA
"Washington Commanders",2024,8,11822203,39364730,4850000,7261417,30150421,16.4436533977888,15.0953771674659,16.3021665101636,15.5096470916958,7022541,29035601,NA
"Washington Football Team",2021,7,22822358,25617947,908721,3614695,32312187,14.7893888338111,14.5663755514269,14.385430221038,15.1771720047118,1558381,10747031,NA
